hours_used,day_of_week,room_temperature,appliance_type,current,usage_label
4,0,24.064444901680027,0,0.5599980717801177,0
17,6,27.069702730094825,1,1.0468237712692323,1
9,0,31.2904356073655,0,0.911871906734207,1
21,1,29.991555099907462,0,1.4271349172456607,1
20,4,25.588266990713954,0,1.397858830934421,1
5,1,32.69167502046087,1,0.45290113674041976,0
0,1,27.48838424309567,0,0.44242154411026424,0
4,5,27.178399271537614,0,0.48765553330076983,0
8,5,18.581192020965688,0,0.7696649852617352,1
11,0,34.773780666071744,1,0.7605641846139737,1
13,6,20.090503745003655,0,1.110003947821343,1
1,1,21.92922551126999,0,0.42540487762468976,0
16,0,18.878846233105957,0,1.1061723646979065,1
13,5,28.880050436227535,0,1.0809855722983068,1
12,4,21.81992000853556,1,0.7682318805587186,1
8,3,21.060177437036298,0,0.740516667045482,1
14,0,19.505444931795104,1,0.868782730514339,1
21,4,19.756252271108266,1,1.2407737321172074,1
14,3,27.939401907524008,1,0.8697627667730895,1
23,2,29.699533719732123,0,1.4397216971450468,1
10,0,24.755442803894816,1,0.7448533098443566,1
15,0,26.158250387065245,0,1.213743752063936,1
16,2,29.66145151171073,1,1.0325760995669753,1
3,2,18.295456433153152,1,0.2931157164787592,0
0,0,23.493221170194737,1,0.1899254233026241,0
7,2,34.54266171719589,1,0.5496739342385272,0
16,1,27.861907904822957,1,1.0299397194780955,1
2,3,22.321817858257386,1,0.3334170244359041,0
19,3,26.86941079281562,1,1.1132913100610753,1
14,3,23.825109298055562,1,0.9040997778206782,1
14,1,27.048164810047084,0,1.122864020230762,1
23,6,20.13760570071303,0,1.6227911161073385,1
21,2,20.256149114927716,1,1.2852253269912361,1
13,4,20.440220154669678,1,0.889452834368776,1
22,2,33.97693646275631,1,1.3041913313964681,1
13,0,30.45928161180281,0,1.1205229572601751,1
23,5,20.760492209259453,1,1.370488139797975,1
1,3,21.201934424015224,0,0.4069456044913215,0
12,2,30.4241010728049,0,1.0701684985062596,1
13,4,20.654785361466956,0,1.0848951636269515,1
23,0,21.987541986692086,0,1.5278477989435761,1
18,1,34.37689615794679,0,1.276025351630038,1
6,6,22.340210920383342,1,0.5148287772570381,0
2,1,29.247749956309494,1,0.3231592397633793,0
14,4,34.63673188580901,1,0.9098646132815604,1
22,0,24.363045041376473,1,1.3155654336721443,1
13,3,18.29777184465506,1,0.9349978687288192,1
10,2,22.15050393718036,0,0.9535771576117443,1
14,0,32.124912252809,1,0.9095317795632514,1
12,6,32.69835021123562,1,0.8470655290383742,1
17,1,31.06482919690445,0,1.198373804823623,1
5,6,19.92286692430174,1,0.46989635249734046,0
2,6,31.523676318838852,0,0.5904653174866555,0
18,4,33.617522548889575,1,1.0890977052303814,1
14,4,28.210362223286012,0,1.0576183035690458,1
22,2,33.9948810577471,1,1.267395555570347,1
4,4,32.05626102310192,1,0.3455183481328806,0
9,4,29.338515788845424,0,0.810761904593615,1
6,0,27.812149024099718,0,0.6814745950704986,0
16,3,23.925752343113498,0,1.129721649041068,1
6,2,20.707886569127687,0,0.7007809166974802,0
21,0,28.284216685739196,0,1.4951138586893324,1
11,3,23.40789641150803,0,0.904612190992654,1
16,6,32.72945734796997,0,1.2759641961820887,1
12,0,34.88672793509669,0,1.0255396044263798,1
19,5,30.791271964464734,1,1.201529029281203,1
3,0,19.538188819879863,1,0.3171082723073932,0
9,4,22.90765512402085,0,0.8927262613533309,1
2,3,19.854863740017745,1,0.24540330498023438,0
8,2,29.058698012459168,1,0.6445123750418256,0
12,2,31.00824469744834,1,0.8085919669896766,1
17,3,33.7364721249721,1,1.0776625609992392,1
14,4,25.44892988900379,0,1.0412202697187576,1
3,1,33.32338604300355,1,0.3052465078861698,0
14,0,32.92414970370257,0,1.1298614109126692,1
21,4,23.392327185011776,1,1.20258259978879,1
1,5,32.7713106341897,1,0.27316031460495616,0
14,6,24.38642828198935,1,0.8316431096769878,1
7,3,23.046777667524772,0,0.7924087106333334,0
7,0,29.034269199504685,1,0.4883738342615746,0
16,2,23.58248087404638,0,1.2276149968839762,1
11,6,28.71354872159545,1,0.7812815466823,1
18,1,28.367140693477808,0,1.2651614090785213,1
9,5,27.5784617649238,1,0.6791013283542364,0
8,2,24.467134971957563,0,0.8130221131666778,1
4,3,27.324495268075104,0,0.5730579071903632,0
5,0,28.140253074752167,1,0.3995722657961896,0
19,3,27.276677104423047,0,1.251868715416371,1
1,6,25.555130696770426,1,0.26748250236498466,0
23,0,18.249339969786483,1,1.2717598614318972,1
12,4,27.980049030919567,1,0.8047672099720654,1
5,1,20.863554547426233,1,0.43682758919588754,0
4,4,28.923791472102224,1,0.4339571387719098,0
0,4,30.90885357468872,1,0.1848977250255068,0
20,3,26.507570255222603,1,1.1835276106826453,1
21,6,27.22018230465555,1,1.2865935352144149,1
20,1,34.17513551432185,1,1.2167529014542058,1
5,0,32.40184514333376,1,0.46580779785913895,0
5,0,33.54202077117499,1,0.47346337949042633,0
22,5,31.83402690143297,0,1.4232213938396447,1
15,2,19.851611811394434,0,1.187839433999349,1
3,5,20.532861551493312,1,0.38062343970068013,0
10,5,26.952604553572314,1,0.6491658435711751,1
23,0,22.18318419956597,1,1.33779597631629,1
22,3,26.103823075699708,1,1.2980346356186185,1
8,4,24.704210504911956,1,0.5932751607799135,0
22,6,27.340042053317706,1,1.3166929983284268,1
2,4,30.696887174308984,1,0.37156833909155923,0
18,4,30.163345420687666,1,1.1540883363836416,1
7,1,26.860980252250684,0,0.6843890403284297,0
4,0,31.980688119889987,1,0.43110349951530247,0
3,6,25.324655556146567,0,0.6164466659767706,0
23,3,33.244142927282084,1,1.3693404260344602,1
5,1,19.211764590937786,1,0.5045490212592983,0
1,2,34.22922051056622,0,0.5506135222850382,0
19,3,29.12978238433292,1,1.2011854773053492,1
10,5,24.46126665193249,0,0.9124654297820864,1
3,3,21.351620151738913,1,0.4022544237042377,0
14,3,26.1461149005412,1,0.9072443916548447,1
5,4,21.307491494150117,0,0.6511951521642478,0
21,3,20.827637331633415,1,1.2324292882143133,1
16,5,28.49497987602056,0,1.2781706679416056,1
23,5,26.89244031789034,1,1.3090785667029001,1
5,0,29.39163258838601,0,0.7266183862339058,0
18,3,33.80329991617381,0,1.3249932061870187,1
1,4,27.048423626763682,1,0.1800346912599029,0
14,3,27.87584490546756,1,0.9183824646495712,1
10,2,19.523647765634017,0,0.7949986746174188,1
7,2,30.199808360446703,1,0.5812754008415518,0
18,4,24.798388515670656,1,1.1442615741494497,1
12,0,34.60432905726384,1,0.7703822022173974,1
11,0,31.993958265126224,0,0.9561773847977791,1
4,5,26.88217768877401,0,0.6977078716875145,0
5,5,20.094785120926822,0,0.6247126647869032,0
21,1,32.610068485770014,0,1.3970546206471701,1
3,4,31.596278622208366,0,0.62408317012313,0
18,3,21.13794720212956,0,1.3981293595265398,1
19,6,23.01973091674527,0,1.3501847835923924,1
0,4,31.487923388513234,0,0.45057315177041785,0
19,1,21.148883591305964,0,1.4170737957765442,1
16,5,33.601792315913414,1,0.9628757883730807,1
11,4,25.21696622833815,0,0.9257347082316066,1
14,4,19.479662363990197,1,0.9615437256577368,1
0,5,31.867726939572776,1,0.2842507139354255,0
13,1,24.34966461165259,1,0.8781440430087178,1
5,5,26.950486300614276,0,0.6060092823248973,0
4,0,19.909173854990726,0,0.6993530555849722,0
10,3,18.0439282523647,0,0.8734514551094018,1
3,5,28.84574849848606,0,0.5332431109414275,0
12,1,26.757977895673438,1,0.8171168917244811,1
10,2,28.090155675093502,0,0.9777080210357387,1
2,0,31.493645456468776,0,0.5426987988276112,0
0,2,28.992300528188622,0,0.42074327501809555,0
5,6,20.971148528065413,0,0.6731644265059054,0
17,5,24.133132824880196,0,1.2521757334321733,1
23,0,33.40014878139193,1,1.3779069757259255,1
9,3,31.089059904278542,0,0.7235219961152849,1
4,5,27.46282998492419,1,0.3851696270465101,0
22,3,22.345964962757627,0,1.512066096745839,1
9,4,23.135028531191516,1,0.5924492958190246,0
11,2,30.443287148955786,0,0.9693161658905781,1
1,0,32.469962434497106,0,0.43977643895069396,0
12,3,29.414219382020445,1,0.8877737849157745,1
7,1,31.76200958806351,1,0.6286509862607429,0
1,3,31.033154298406902,1,0.22670972154409186,0
19,1,20.54496745526828,0,1.3424581144216654,1
0,5,25.207061819526132,1,0.19630262171958038,0
4,0,20.600724614085564,0,0.577417026192019,0
8,3,21.999004941633743,0,0.8097512492014064,1
16,6,32.77741361906789,1,0.9620858965556205,1
8,3,26.039163415764097,1,0.5434692332531238,0
10,6,27.101087731325237,0,0.9311355611950134,1
14,0,21.033581408872127,0,1.1314764792110907,1
23,3,23.308620362829533,1,1.3097842120170005,1
5,1,21.91418486327379,1,0.49476777153813,0
22,3,21.505164796813247,1,1.2684211135417334,1
2,2,28.845333486371494,0,0.5126582619018991,0
16,5,22.367025409977153,0,1.241017200630623,1
4,4,28.74426326234711,0,0.5983193717648144,0
11,1,18.993728439845416,0,0.9727370456070568,1
17,2,20.41016468996073,0,1.2241785178056215,1
13,6,22.667184318002132,0,1.040176670828595,1
20,5,28.149797587226757,1,1.189707028455983,1
23,0,29.48930116648539,0,1.5126710826729883,1
10,1,25.52618843525196,0,0.8911612918442109,1
8,4,25.57844554781289,0,0.7225690850568127,1
1,5,30.31678647377651,1,0.22544231264289477,0
11,6,18.2689585600149,0,0.9357562253315165,1
2,4,23.798530416061748,0,0.487191012375231,0
2,0,31.918019971026958,1,0.2879251277064611,0
0,0,28.254729973627327,0,0.39691179000699356,0
7,6,23.732861256842146,0,0.7739720759043032,0
21,1,33.39392146960446,0,1.4937258537066262,1
7,6,31.134586366639503,0,0.7175117386575867,0
10,3,22.50322260302447,0,0.8398399572305428,1
8,0,28.969927237937185,1,0.5478977793878449,0
4,5,28.127762379212264,1,0.3756398539402537,0
13,3,24.820194538662705,1,0.8324039341091747,1
2,2,24.238253346481613,0,0.46150019669012715,0
20,4,23.840528071186966,0,1.3351941667875051,1
4,3,28.491648317725996,0,0.5771939586262906,0
4,4,25.52096892017138,1,0.4090713310056986,0
18,6,32.14167292527418,0,1.3297514732917783,1
13,3,29.38324447427735,0,1.022128847344584,1
3,6,19.18883729706038,1,0.32935010889282834,0
12,2,28.882859805078823,0,0.9536650845576344,1
9,0,22.60950642050314,1,0.6484280414812612,0
17,2,28.077803858108187,1,1.0075785682904592,1
7,0,29.562242828758674,1,0.5786563906620601,0
7,6,21.924096215618206,0,0.6607066754032944,0
6,0,25.76659696296627,0,0.682018516377377,0
7,4,21.23552266792415,0,0.7650553669595871,0
